2015-01-18T00:05:34: Launching bolt session for c:\users\ahankendi\documents\visual studio 2013\projects\pageguidemvc\.pageguidemvc.boltdata - SessionId: 363e9762-56f1-4560-9ec2-56965250a259
2015-01-18T00:05:36: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:57:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:57:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:57:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:57:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:58:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:58:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:58:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:58:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:58:59: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:59:00: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:59:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:59:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:59:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:59:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:00:07: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T01:00:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:00:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:00:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:00:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:01:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:01:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:01:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:01:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:02:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:02:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:02:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:02:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:03:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:03:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:03:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T01:03:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T01:04:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:04:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:04:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:04:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:05:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:05:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:05:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:05:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:06:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:06:13: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:06:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T01:06:43: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
